what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092471226
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092471449
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308092476053
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092477477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092590509
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1308092590622
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092592231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092601768
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308092601792
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308092630094
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308092631347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092636893
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092637711
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092638809
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092648119
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092651189
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092652845
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1308092652956
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092654619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092739022
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308092739049
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308092739683
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308092741631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092746149
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308092747666
